"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"May 2019",116.092224073847,115.73568525782,116.448762889875,115.546945009554,116.637503138141
"Jun 2019",116.391658098384,115.810369130081,116.972947066688,115.502653337971,117.280662858798
"Jul 2019",116.695035592682,115.910201518595,117.479869666768,115.494735456186,117.895335729177
"Aug 2019",117.129169151202,116.108927398211,118.149410904193,115.568844038153,118.689494264252
"Sep 2019",116.955063652979,115.698320129289,118.211807176668,115.033040294372,118.877087011585
"Oct 2019",116.916931066134,115.426180075615,118.407682056653,114.637024170547,119.19683796172
"Nov 2019",116.87275489768,115.112307414801,118.633202380559,114.180382810685,119.565126984675
"Dec 2019",117.009918215141,114.977622140521,119.042214289762,113.901789584761,120.118046845522
"Jan 2020",116.671330797405,114.376209792792,118.966451802019,113.16124612337,120.18141547144
"Feb 2020",117.429373219089,114.834619082568,120.024127355609,113.461039214397,121.397707223781
"Mar 2020",118.069288578959,115.162471521775,120.976105636144,113.62369552215,122.514881635769
"Apr 2020",118.303277137028,115.081291881899,121.525262392157,113.375675916324,123.230878357732
"May 2020",118.80113437375,115.188204274973,122.414064472528,113.275634610301,124.326634137199
"Jun 2020",119.140463560564,115.118490382671,123.162436738456,112.989386391768,125.291540729359
"Jul 2020",119.574094139761,115.137879078211,124.01030920131,112.789488680193,126.358699599328
"Aug 2020",120.005729171591,115.126302083406,124.885156259777,112.543289410949,127.468168932234
"Sep 2020",120.009979006668,114.67402435137,125.345933661966,111.849340583135,128.170617430201
"Oct 2020",120.093167829757,114.296412035869,125.889923623645,111.227794879768,128.958540779745
"Nov 2020",120.085172263086,113.802406838355,126.367937687816,110.476511724675,129.693832801496
"Dec 2020",120.277212188375,113.496250865095,127.058173511654,109.906626773391,130.647797603358
"Jan 2021",120.054988857719,112.77186364475,127.338114070689,108.916410047393,131.193567668045
"Feb 2021",120.806314315585,112.998212961732,128.614415669438,108.864853782402,132.747774848768
"Mar 2021",121.52915451293,113.182396146953,129.875912878908,108.763889169884,134.294419855977
"Apr 2021",121.944074661985,113.051342012504,130.836807311467,108.343813708209,135.544335615761
"May 2021",122.404709501916,112.88452709801,131.924891905822,107.844846957502,136.96457204633
"Jun 2021",122.820904373048,112.647536412302,132.994272333794,107.262080724728,138.379728021367
"Jul 2021",123.269932675316,112.430099388171,134.109765962461,106.691838268171,139.848027082461
"Aug 2021",123.764161086496,112.227098225558,135.301223947435,106.1197460643,141.408576108693
"Sep 2021",123.873688019056,111.620574839957,136.126801198156,105.134168537199,142.613207500914
"Oct 2021",124.062961748637,111.082143714506,137.043779782767,104.210513731102,143.915409766171
"Nov 2021",124.212907225221,110.475894741873,137.949919708569,103.203959597665,145.221854852778
"Dec 2021",124.510825380428,110.001341655184,139.020309105673,102.320484936606,146.701165824251
"Jan 2022",124.472773680052,109.182476726098,139.763070634006,101.08828245208,147.857264908024
"Feb 2022",125.210398516365,109.112151957944,141.308645074785,100.590254998892,149.830542033837
"Mar 2022",125.895069479599,108.970824009818,142.81931494938,100.01166963982,151.778469319378
"Apr 2022",126.309853878235,108.547574797514,144.072132958955,99.1447922314428,153.474915525027
"May 2022",126.841841767925,108.185851600457,145.497831935392,98.3099669630033,155.373716572846
"Jun 2022",127.298325489701,107.724623512253,146.872027467149,97.3629315880011,157.233719391401
"Jul 2022",127.803436666278,107.2964769093,148.310396423256,96.4407481590787,159.166125173478
"Aug 2022",128.321985869653,106.853886958756,149.790084780549,95.4893618745187,161.154609864787
"Sep 2022",128.536817602094,106.087634703956,150.986000500233,94.2037551287115,162.869880075477
"Oct 2022",128.811291791052,105.366840861501,152.255742720604,92.9560982158246,164.66648536628
"Nov 2022",129.034402537858,104.569022478958,153.499782596758,91.6178325981609,166.450972477555
"Dec 2022",129.390221066182,103.885761668523,154.894680463841,90.3845164121256,168.395925720238
"Jan 2023",129.463336614,102.907307838843,156.019365389157,88.8493953797281,170.077277848272
"Feb 2023",130.195097094852,102.563383253377,157.826810936327,87.936037517024,172.45415667268
"Mar 2023",130.897549840162,102.171561617811,159.623538062513,86.9649420155176,174.830157664807
"Apr 2023",131.382707945283,101.548200739051,161.217215151515,85.7547666334825,177.010649257084
"May 2023",131.926970259945,100.933274695962,162.920665823928,84.5262033408306,179.327737179059
"Jun 2023",132.427305477229,100.249959681303,164.604651273155,83.216301742622,181.638309211836
"Jul 2023",132.958164384189,99.5794260082835,166.336902760094,81.9097892543451,184.006539514032
"Aug 2023",133.510902696638,98.9038285071993,168.117976886078,80.5839500517152,186.437855341562
"Sep 2023",133.804313657251,97.9480007617351,169.660626552766,78.966815281799,188.641812032702
"Oct 2023",134.150563796939,97.0284532647173,171.272674329161,77.3771949919538,190.923932601925
"Nov 2023",134.46248704231,96.0492230399029,172.875751044717,75.7144694068647,193.210504677755
"Dec 2023",134.880272747428,95.1566161864748,174.603929308382,74.1281826349861,195.63236285987
"Jan 2024",135.065141059639,94.0164212858076,176.11386083347,72.2865416405845,197.843740478693
"Feb 2024",135.789929490568,93.3919387995718,178.187920181563,70.9477982760479,200.632060705087
"Mar 2024",136.483624108071,92.7167479627412,180.2505002534,69.5479632521474,203.419284963994
"Apr 2024",136.993741593015,91.8418651045201,182.14561808151,67.93990550001,206.04757768602
